temperature,humidity,soil_moisture,rainfall,rain_probability,forecast_temperature,forecast_humidity,pump_state
31.4,82.9,74.9,1.4,46,34.3,83.3,0
25.3,85.5,50.4,0.8,39,26.5,81.6,1
33.4,80.2,19.8,2.2,56,34.7,77.2,1
34.2,84.9,18.6,0.1,54,34.8,91.3,1
21.2,95.2,13.5,0.1,70,18.4,89.1,1
24.1,89.2,49.8,0.3,68,25.9,87.2,1
30.6,76.0,32.1,1.0,24,31.1,75.8,1
28.6,82.6,72.0,0.1,27,28.0,76.4,0
29.9,95.1,80.2,0.1,74,30.7,98.4,0
26.2,85.4,52.4,11.8,72,21.9,86.0,1
34.0,71.3,25.5,2.2,17,33.5,72.9,1
33.5,73.0,54.7,0.4,34,37.1,77.2,1
30.3,87.4,41.3,1.9,39,31.8,86.3,1
35.1,78.2,67.9,4.0,42,34.8,81.0,0
32.1,76.4,82.9,0.0,31,34.1,72.3,0
26.1,92.0,76.4,19.8,81,24.6,92.9,0
31.7,75.6,71.2,0.7,32,30.3,73.8,1
25.7,87.6,80.8,0.6,10,24.5,85.8,0
34.0,70.9,35.3,1.3,40,31.6,79.4,1
29.8,81.2,46.5,0.0,18,28.3,82.2,1
29.2,83.5,17.7,0.2,63,30.6,79.1,1
26.9,87.7,67.3,8.1,58,25.7,88.9,0
35.5,83.0,77.1,20.7,71,38.4,85.1,0
29.3,87.3,62.8,12.6,67,29.3,89.2,1
28.1,97.2,47.5,0.2,59,29.7,98.2,1
28.4,88.1,74.0,19.1,49,27.4,92.9,0
32.4,84.1,21.2,7.1,68,33.4,87.7,1
31.6,73.7,57.3,0.0,11,32.9,69.5,1
31.9,80.6,34.4,2.3,70,29.6,80.6,1
31.9,72.1,47.0,0.3,73,34.4,80.3,1
39.6,70.1,29.0,1.1,20,40.9,65.9,1
28.2,82.4,84.4,0.0,35,30.7,82.3,0
27.7,84.4,28.9,0.1,19,27.5,84.4,1
26.3,84.6,76.5,2.5,54,25.9,85.6,0
32.8,86.6,49.8,21.2,68,33.4,82.1,0
35.1,79.3,44.6,0.1,37,38.2,83.6,1
29.5,79.8,30.3,0.3,43,29.7,79.7,1
26.2,71.0,53.2,0.8,17,26.2,71.5,0
26.3,83.6,58.6,1.3,11,28.5,79.5,1
32.9,76.7,80.9,1.3,4,31.8,73.0,0
33.3,80.0,27.1,0.5,48,32.2,78.9,1
32.4,79.3,35.0,0.0,27,33.2,80.0,1
27.0,79.8,56.2,5.2,50,24.3,79.7,1
31.0,75.3,25.3,0.2,22,31.2,69.6,1
30.5,78.5,35.5,0.1,17,31.6,73.4,1
31.0,82.9,53.2,0.3,41,29.5,77.3,0
33.9,79.6,12.2,1.2,60,34.5,76.5,1
31.0,81.8,57.5,1.1,36,30.5,79.3,1
33.1,77.8,33.2,0.4,45,31.9,74.9,1
30.3,79.4,28.8,0.7,76,28.1,84.0,1
31.3,81.3,68.3,0.6,26,29.9,83.3,0
32.8,85.0,48.9,0.5,55,34.3,84.8,1
23.4,87.7,72.5,0.7,35,21.7,89.1,0
28.6,82.1,55.2,0.1,20,27.8,74.1,1
27.9,87.0,75.5,0.1,48,27.7,85.0,0
27.1,86.3,12.9,0.5,28,27.0,91.3,1
28.8,84.2,81.0,0.4,79,31.4,85.7,0
36.7,67.5,59.5,22.4,32,36.7,61.5,1
26.1,91.9,50.1,18.6,55,24.3,86.5,0
34.4,77.0,42.4,0.2,33,31.0,79.6,0
22.4,83.5,53.1,1.0,30,22.6,87.6,0
28.5,83.5,43.5,1.1,37,27.3,84.4,1
30.7,72.1,33.3,1.1,21,26.8,71.9,1
32.6,69.4,53.7,0.0,46,34.3,68.1,1
33.2,69.7,75.1,0.2,41,37.3,72.2,1
33.6,74.5,64.8,0.3,21,31.7,71.1,1
28.4,78.7,50.4,1.0,34,26.5,76.6,0
27.9,88.6,86.3,0.6,10,27.3,84.5,0
33.9,77.2,35.3,0.1,24,33.8,77.6,1
29.1,72.8,50.4,1.2,26,28.5,68.2,1
24.3,88.5,79.0,49.2,65,23.7,91.7,0
24.9,83.7,58.5,0.2,16,25.9,86.4,1
25.9,77.2,35.2,1.3,58,28.3,80.7,1
32.2,80.0,34.4,0.6,37,29.5,74.9,1
30.6,81.5,66.7,26.9,81,31.0,77.7,0
33.1,76.8,28.0,12.3,40,34.6,78.2,1
